,레시피 이름,식품명,재료,양념,조리순서
10,몸보신에 최고인 삼계탕 만드는법,삼계탕,닭 2마리##,,"찹쌀은 집에 한컵정도 밖에 안남았길래 이거라도 넣어줬어요 찹쌀은 1시간이상 불려서 준비해줍니다##삼계탕용 약재는 마트에서 파는걸로 편하게 준비했구요 이안에 황기랑 그외 등등등.. 대추도 들어있어요ㅎㅎ 냄비에 물을 넣고 약재를 다 넣고 30분정도 끓여줍니다##보통 닭이랑 약재랑 한번에 다같이 끓여주시던데 저는 저희엄마가 하시는 방식으로 할거에요~ 약재로 육수를 먼저 끓여준후 닭을 넣어야 더 맛있다고 하더라구요##육수가 만들어질동안 저는 닭손질을 해야겠지요~ 닭 두마리를 봉지에서 꺼내줬는데 매끈한게 참 요염한 자태를 뽐내고 있네요 하다보면 괜찮지만 처음엔 꺼내고 이걸 어쩌지 멍~ 했다는ㅎㅎ##먼저 닭의 기름이 가장 많다는 꼬리부분을 잘라주셔야 해요 자르고 그주변으로 보이는 기름들 다 제거해주세요##날개부분도 끝부분은 잘라주세요 닭손질 겨우겨우 끝! 구석구석 기름있는거 다 제거하고 안에 내장이나 더러운것들 다 파내고 흐르는 물에 씻어주고~ 한 30분정도? 소요된것 같아요##다 손질된 닭은 보기좋으라고 다리를 꼬아줬어요 보통 닭안에 대추 찹쌀 등등 다 넣으시는데 저는 안넣고 그냥 끓일거에요! 개인취향대로 안에 내용물 넣으시고 꼬으셔도 되요^^##30분정도 후 육수가 진~하게 잘 우러났어요 이제 닭2마리 퐁당 해주시고 찹쌀도 그냥 넣어주세요##원래는 통마늘을 넣어야되는데 저는 통마늘의 필요성을 못느껴 마늘은 다 갈아버리거든요 ㅜㅜ 어쩔수없이 다진마늘을 1스푼 넣어줬어요 근데 저는 오히려 통마늘은 익어도 잘 못먹겠는데 다진마늘은 은은하게 마늘향도 나고 좋더라구요 앞으로도 저는 삼계탕할때 그냥 다진마늘 넣으려구요^^##푹 30~40분정도 끓여줍니다 닭은 너무 오래끓이면 질겨지니 적당히 끓여주세요!!##마지막에 간은 소금으로 해주시고, 대파 송송 썰어서 넣어서 한번더 끓여주세요##짠! 여름보양식 삼계탕이 완성됫어요##"
11,순대국밥 레시피,돼지머리국밥,시판 순대 4컵##대파 1대##청양고추 2개##,다진 마늘 1.5스푼##들깨가루 2.5스푼##고춧가루 3스푼##새우젓 1.5스푼##액젓 1.5스푼##,"그릇에 양념장을 만들어주세요. 다진 마늘 1.5, 들깨가루 2.5, 고춧가루 3,새우젓 1.5,액젓 1.5 고루 섞어 줍니다. 액젓은 까나리, 멸치 등 갖고 계신 거 넣어주세요. 저는 멸치 액젓 사용했습니다. 액젓 없으면 참치 액~##대파, 청양고추를 송송 썰어주고,##순대는 한 입 크기로 썰어 주세요.##냄비에 시판 곰탕 한 봉지랑 물 2컵을 넣어주고 미리 만들어둔 양념장을 풀어주세요.##육수가 보글보글 끓어오르면 썰어 놓은 대파, 청양고추를 넣어 더 끓여 줍니다.##이때 위쪽에 든 거품을 숟가락을 이용해 중간 중간 걷어 내주세요.##썰어 놓은 순대를 넣고 한소끔 더 끓여주세요.(순대를 마지막에 넣어야지 터지지 않아요.) 맛을 보고 싱거우면 소금으로 간을 해주세요. 그리고 후춧가루를 더 해줍니다. 오랫동안 끓일 필요 없고요, 순대가 익으면 불을 내려주세요.##뚝배기에 밥을 담고 그 위에 만들어 놓은 순댓국을 부어주면 순대국밥이 된다죠 ㅋ 밥 따로 순댓국 따로 담아도 되고요. 어떻게 먹든 참 맛있는~##"
12,해물칼국수 l 시원하게 끓이는 법 ★,해물칼국수,바지락 1종이컵##홍합 2종이컵##새우 4마리##칼국수면 2인분##양파 1/4개##청양고추 1개##홍고추 1개##멸치다시마육수 5종이컵##,소금 약간##후추 약간##다진 마늘 1숟가락##,"양파는 채 썰고 청양고추와 홍고추는 어슷 썬다.##냄비에 멸치다시마육수를 붓고 해산물을 넣어 끓인다.##바지락이 입이 벌리면 칼국수면을 넣고 끓인다.##면이 80% 정도 익으면 양파와 고추, 양념 재료를 넣고 면이 익을때까지 끓여 완성한다.##"
13,굴짬뽕 만드는 법 중국집 보다 맛있다,굴짬뽕,굴 200g##홍합 200g##가리비 또는 조개류 적당량##배추 3컵##버섯 2컵##양파 1/2봉##대파 1/2단##식용유 3큰술##고춧가루 3~4큰술##굴 소스 2큰술##국간장 2큰술##소금 톡톡##다진마늘 1큰술##후추 톡톡##,,"육수는 디포리와 멸치, 다시마
건새우로 진하게 내준다##배추속과 버섯을 채 썰어준다
배추는 넉넉하게 준비했는데도
끓이다 보니 양이 적어 보인다
생각보다 많이 넣어도 좋을 듯##시원한 국물 맛을 더해줄
홍합과 달달하고 깊은 맛을
살려줄 가리비도 몇 개 넣어준다##가리비는 쪄서 그냥 먹어도 맛있지만
국물에 넣어 주면 감칠맛이 배가 된다
어떤 국물에도 잘 어울리지만
특히나 짬뽕국물에 가리비를 넉넉하게 넣어주면 무조건 맛있다!!!
팁을 주자면
가리비는 겨울에 아주 저렴하다
인터넷에서 현지 직송으로 배송 받아서 깨끗이 세척을 한 뒤 냉동 보관하면서 국이나 찌개에 넣어 먹는데
그 맛은 다른 조개 보다 훨씬 맛있다##굴을 잘 못 먹는 사람도
각종 해산물을 넣어
짬뽕으로 만들어 주면
거부감 없이 먹을 수 있는 요리##식용유 4 큰 술을
넉넉히 두르고 대파를
듬뿍 넣어 파기름을 만들어준다
고추기름을 따로 넣지 않을거라
식용유를 넉넉하게 둘러 파기름을 만든다##준비한 양파를 넣어 같이 볶아주다가##다른 야채도 함께 볶는다##육수와 함께 더 끓여 주기 때문에
야채는 살짝 숨이 죽을 정도로만
익혀준다##고춧가루를 넣어 잘 섞어 주는데##빨갛고 매콤한 맛을
좋아한다면 고춧가루를
두 큰 술 정도 더 첨가해도 좋다##육수를 넣고 끊이기##한소끔 끓어오르면
국간장과 굴 소스를 넣어 주고
소금은 마지막에 입맛에 맞게
간을 한다##홍합과 가리비(조개)를
넣어 끓여주고
마늘을 넣어 끓여준다##굴은 오래 끊이면
질겨지므로 조개들이 살짝 익었을 넣어준다##청경채가 있으면
넣어줘도 좋다##우동 사리를 넣어 주고##마지막에 소금 간
그리고 후추 톡톡!!!
더 매운걸 좋아한다면
청양고추도 살짝 넣어 주면 좋다##"
14,[삼시세끼 고창편] 차승원 짬뽕밥 # 얼큰 깊은 짬뽕,짬뽕밥,채 썬 파 1줌##마늘 5개##양파 1/2개##양배추 20g##애호박 또는피망 1/2개##청고추 1개##홍고추 1개##간 돼지고기 100g##고추기름 /고춧가루 3T##동죽조개 대신 홍합 200g##미림 2T##굴소스 1T##소금 1/2T##후추 약간##,,"양파, 양배추, 피망, 고추, 채소를 채 썰거나 귀찮아서 몽땅 갈아줬어요. goood
애호박 대신 피망 넣어준건데 피망도 괜찮았어요! 담에도 피망으로 넣으려구요ㅎ##팬에 기름을 두르고 채 썬 파, 채 썬 마늘을 넣고 볶아줍니다.
살짝 노릇노릇해지면
삼시세끼 고창편 고추기름대신 고춧가루 1T 투하.##그 위에 채소를 넣고 볶다가 어느정도 익으면 간 고기 100g 넣고 고춧가루 2T를 추가합니다.##삼시세끼 동죽조개 대신 홍합 200g에 미림 2T를 둘러줬어요. 홍합 투하.##한번 섞어준 다음
굴소스 1T를 넣고 볶다가 재료가 잠길만큼 물을 충분히 부어줍니다.
소금 1/2T로 간을 해줍니다. 설탕은 생략, 후추를 톡톡 뿌려줍니다.
한소끔 푹 끓여줍니다.(센불 10분~15분 마무리)##밥위에 쏵 부어주면 짬뽕밥 완성.~
양배추는 많아도 좋더라구요. 남은 생양배추 올려서 먹어도 좋답니다.##"
15,삼선짬뽕 만들기,삼선짬뽕,전복 1개##오징어 1/2마리##중새우 1마리##백 새우 5마리##쭈꾸미 2마리##갑오징어 1마리##가리비 2개##양파 1/4개##배추 1잎##청경채 1포기##당근 약간##표고버섯 1개##죽순 편 4쪽##양송이 1개##,식용유 1큰술##마른고추 5개##다진마늘 1큰술##대파채 1큰술##고추가루 1큰술##간장 1작은술##굴소스 1작은술##꽃소금 1티스푼##치킨스톡 1큰술##후추가루 약간##,야채는 채썰고 해물은 이물질을 제거하고 버섯은 편으로 썰고##펜에 식용유 1큰술 두르고 마른고추 향을 내고 대파 마늘 넣고 향을 내고 간장 1작은술 넣고##준비한 재료를 넣고 센불에서 볶아줍니다##조건이 되면 불맛을 내고##야채를 볶아서 촉촉하게 되면 고추가루 1큰술 넣고 볶아줍니다##고추가루가 볶아서 고소하게 되면 육수를 2국자 넣고 끓여 줍니다##끓어오르면 굴소스 1작은술 꽃소금 1티스푼 치킨스톡 1큰술 넣고 마지막에 후추가루 약간##면을 부드럽게 삶아서 찬물에 헹구어 다시 뜨거운 물에 데쳐 그릇에 담고##볶아낸 짬뽕을 위어 담아냅니다##해물맛이 깊은 맛있는 삼선짬뽕 완성 되였습니다##
16,"김치우동 만드는 법, 속이 확 풀리는 시원한 국물요리",김치우동,신 김치 150-200g##양파 1/4개##대파 1/2대##표고버섯 1개##홍고추 1개##계란 1개##우동사리 1봉지##청양고추 1개##,고춧가루 1/2큰술##들기름 2큰술##설탕 1작은술##김치 국물 2국자##육수 700ml##다진 마늘 1/2큰술##미림 1큰술##참치 액 1큰술##소금 적당량##,"먼저 신 김치는 송송 썰어서, 대파 1/2대와 홍고추 1개는 어슷 썰어서 준비해주시고요.
양파 1/4개와 표고버섯 1개는 슬라이스해줍니다.
팽이버섯은 손으로 대충 찢어주세요 ^^##육수는 디포리 3마리, 다시마 3장, 물 1,000ml, 건새우 한 줌, 표고버섯 밑동 1개를 넣어주시고요.
물이 끓어오르기 전 다시마부터 제거해주세요.
물이 끓으면 중약 불로 줄여 15분 정도 은근하게 끓여낸 후 체로 건더기를 건져내주세요 ^^##중약 불로 예열한 냄비에 들기름 2 큰 술과 신 김치를 넣고 가볍게 한 번 볶아주시고요.
이어서 설탕 1 작은 술과 고춧가루 1/2 큰 술을 넣고 김치의 숨이 죽을 때까지 볶아줍니다.##준비해 둔 육수 700ml를 부어주시고요.
국물이 끓어오르면 참치 액 1 큰 술과 김치 국물 2 국자, 미림 1 큰 술, 다진 마늘 1/2 큰 술을 넣고 약불에서 15분 정도 은근히 끓여주세요.
15분 후 맛을 한 번 보시고, 약간 싱겁다면 소금을 좀 넣어줍니다.
**
사진에서는 참치 액이 반 큰 술이지만, 이후 추가로 반 큰 술 더 넣어줬고요.
참치 액 없으신 분들은 국간장 1 큰 술 넣어주세요 :)
**##채 썬 양파와 우동사리, 표고버섯, 팽이버섯을 차례로 넣어준 다음 한소끔 끓여줍니다.
(청양고추 1-2개 송송 썰어 넣어주시면 더욱 칼칼하고 얼큰한 김치우동을 드실 수 있답니다^^)##냄비를 바꿔서 ~
어슷 썬 대파와 홍고추, 계란 한 개를 톡 깨서 넣어준 뒤 계란이 반 정도 익었을 때 가스불을 끈 다음 쑥갓을 올려 마무리해주시면 돼요 ^^##노른자가 깨지면 안 되는데, 어쩌다 보니 톡 터져버렸네요 ㅎㅎㅎ
그래도 맛만큼은 최고 최고 +_+##우동 다 건져먹고 밥 한 그릇 말아서 후루룩 먹고 나면 술 안 먹어도 속이 확 풀리는 느낌이라는 ^^##"
17,시원한 열무냉면 만들기,열무냉면,,소금 ##설탕 ##식초 ##,"오이를 썰어 그릇에 담고 소금, 설탕, 식초 (1/2:1:1)로 넣고 조물조물 무친 후 30분 정도 절여주세요##얼린 육수를 반 정도 녹이고 열무김치와 국물을 한 공기 정도 넣고 연겨자, 식초로 간을 맞춰주세요 +) 시판 육수가 단맛이 강해서 따로 설탕을 넣지 않아도 된답니다.##면을 삶아 찬물에 미끈거림이 없을 때까지 비벼가며 씻어 물기를 빼주세요##넓은 그릇에 면을 담고 배합해놓은 육수를 붓고 열무김치와 오이절임을 담고 달걀을 얹고 마지막으로 통깨를 솔솔 뿌리면 완성이에요##"
18,골뱅이소면물회,생선물회,골뱅이 1캔##양파 1/2개##당근 1/2개##적양배추 1/4개##양배추 1/4개##깻잎 1묶음##소면 2인분##,고추장 2스푼##식초 2스푼##설탕 1스푼##다진마늘 1스푼##와사비 1/2스푼##냉면육수 3팩##참기름 약간##깨 약간##,"골배이는 물기를빼주세요
크기가 크다면
칼로 2등분 내지 3등분 해주세요
(여기에 참기름과 깨소금, 다진마늘을 넣고 버무려주세요.)##오이도 채썰고##양파도 채썰어 물에담가 매운맛을
제거해주세요
매운맛 좋으시면 생략해도무방합니당##파프리카 또는 피망도
채썰어주시고
깻잎도 채썰어주세요##적양배추. 양배추. 그외 야채들을
손질해서 준비해요
(집에있는 야채 다 가능해요)##냉면 육수3개를 냄비에 준비합니다
반쯤 얼어있으면 좋아요##양녕재료를 육수에 휘휘 섞어줍니다##끓는물에 소금넣고
소면도 익혀 준비해주세요##소면얹어서 깨소금 뿌리고
얼음동동 띄워내면
새콤달콤 고소하고시원한
맛난 골뱅이 물회 완성!##"
19,홈메이드 뜨끈한 뼈해장국,뼈해장국,국내산 냉장 돼지등뼈 1.5kg##우거지 200g##대파 2뿌리##양파 1개##,된장 1.5큰술##청주 2큰술##후추 약간##,"돼지등뼈가 잠길만큼 찬물을 붓고 1시간가량 핏물을 빼줍니다.##핏물을 빼는동안 삶은 우거지에 양념을해서 간이 베이도록 무쳐놓습니다.##핏물뺀 등뼈를 냄비에넣고 찬물을 넣고 된장, 청주, 후추를 넣어 한번 우르르 끓여줍니다.##한번 끓여낸 등뼈에 다시 찬물을 넣고 대파, 양파를 넣어 뚜껑 열고 1시간반가량 끓여줍니다. 끓이다보면 윗부분에 불순물이 나오는데 깨끗하게 제거해주세요.##푹 끓였으면 대파, 양파를 건져내고 양념해둔 우거지를 넣어 다시 한시간가량 약한불에 푹 익혀줍니다. 이렇게하면 완성입니다. 뚝배기에 덜어 들깨가루, 파 얹어 식탁에 올리면 됩니다.##"
20,간단한 찹쌀깨죽 만들기!,깨죽,찹쌀 1컵##참기름 2스푼##볶은 깨 2스푼##소금 1/2스푼##,,"먼저 죽을 만들기 위한 재료들을 준비합니다! 이때 찹쌀을 미리 불려 사용해주시면 더 빠르게 조리가 가능해요.##그치만 불릴시간없이 바로 만들게 된 저는 물의양을 많이 잡아주고 약한불에 끓여줍니다. 보글보글 계속 푹~ 끓여주세요.##뭉치지않게 계속 저어서 끓여주다보면 눈에띄게 불어난 찹쌀을 보실수있어요! '엇 많이 불어났네~' 싶어도 부드럽게 소화가 잘되도록 물을 조금만 더 붓고 뭉글뭉글하게 더 끓여주세요.##다시 보글보글 끓으면 이때 천일염으로 반스푼정도 넣어주세요. (간장이 더 좋으신분들은 간장으로 하셔도되요)##천일염으로 간을 한뒤에 바로 깨도 2큰술넣어 함께 휘리릭 끓여줍니다.##마지막으로 참기름도 2큰술 넣어 잘 저어 마무리해주세요!
(제 남자친구는 참기름을 엄청사랑해서 전 좀 많이넣은편인데 일반분들은 1큰술만 넣으셔도 알맞게 드실 수 있어요!)##완성된 죽을 적당한 그릇에 담아내고, 집에 있는
밑반찬들 꺼내서 차리면 완성입니다!!##"
